Common Name,Trevally (L),Rock fish (L),Sail fish,Skipjack tuna,Yellowfin tuna,Sardinella,Sharks,Herrings,Indian Mackerel,Pony fish,Katuwalla,Anchovy,"Prawns (M) 3""",Marlins,Frigate tuna,Atawalla,Red Bream,Big eye scade,Ginnati Paraw,Needle fish,Indian Anchovies,Barracuda,Indian Scad,Rainbow Runner,Threadfin  Bream,White Sardinella,Squids /Cuttle fish,Sea Crabs,Tilapia (M)
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
,845,1083.33,1200,621.43,1115,265,,570,695.83,231.25,325,400,1008.33,1368.75,,700,,612.5,875,650,1200,,,680,800,206.67,1256.25,,
,  , ,,,,,,,,,,,,,,,,,,,,,,,,,,,
 1st week of May,1225,1350,1962.5,1000,1375,581.25,933.33,887.5,1100,266.68,550,533.33,1212.5,2300,,,,966.67,1450,1200,1333.33,,,933.33,1233.33,400,887.5,,
  ,  , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
 , , ,,,,,,,,, ,,,,,,,,,, ,,,, ,,,,
  , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,
 ,,,,, ,,,,,,,,,,,,,,,,,,,,, ,,,
 1st week of May,1214.29,1240,1683.33,828.52,1290,378.57,1033.33,575,935.71,306.25,650,400,1525.43,2057.14,,,,858.14,1200,978.57,1300,,,635.71,1114.29,256,1528.57,,
  ,  , ,, , ,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
  , , ,, ,,, ,,,, , ,,,,,,,, , ,,,, ,,,,
   , , ,,,,,,,,,,,,,,,, ,,,,,,,,,,,
  , ,, , ,,, ,,,,,,,,,,,, ,,,,,,,,,,
 ,,,, ,,, ,,,,,,,,,,,,,,,,,,, ,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
 2nd week of May,1250,1280,1785.71,1021.43,1371.43,440.71,1040,739.29,975,340,640,591.67,1271.43,2107.14,,,,900,1300,1040,1333.33,,,957.14,1140,358.33,1471.43,,425
  ,  , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
 , , ,,,,,,,,, ,,,,,,,,,, ,,,, ,,,,
  , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,
 ,,,,, ,,,,,,,,,,,,,,,,,,,,, ,,,
 2nd week of May,1350,1385.71,1914.29,957.14,1442.86,517.86,1025,778.57,1064.29,366.67,616.67,466.67,1528.57,2285.71,,,,920,1250,1178.57,1328.57,,,714.29,1164.29,335.71,1633.33,,
  ,  , ,, , ,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
  , , ,, ,,, ,,,, , ,,,,,,,, , ,,,, ,,,,
   , , ,,,,,,,,,,,,,,,, ,,,,,,,,,,,
  , ,, , ,,, ,,,,,,,,,,,, ,, ,,,,,,,,
 ,,,, ,,, ,,,,,,,,,,,,,,,,,,, ,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
 3rd week of May,1466.67,,1475,1175,,476.25,,875,1083.33,350,600,600,1068.75,1687.5,,816.67,,1000,1400,,1162.5,,,937.5,1100,,1550,,
  ,  , ,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 3rd week of May,1414.29,1391.67,1857.14,1128.57,1464.23,425.71,1216.67,789.29,1121.43,366.67,566.67,587.5,1271.43,2333.33,,,,1166.67,1350,1171.43,1316.67,,,1078.57,1360,341.67,1664.29,,520
  ,  , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
 , , ,,,,,,,,, ,,,,,,,,,, ,,,, ,,,,
  , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,
 ,,,,, ,,,,,,,,,,,,,,,,,,,,, ,,,
 3rd week of May,1175,1350,1841.67,960.71,1364.29,542.86,1162.5,792.86,940,350,600,540,1507.14,2278.57,,,,925,1233.33,1035.21,1316.67,,,675,1142.86,376.43,1585.71,,618.75
  ,  , ,, , ,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
  , , ,, ,,, ,,,, , ,,,,,,,, , ,,,, ,,,,
   , , ,,,,,,,,,,,,,,,, ,,,,,,,,,,,
  , ,, , ,,, ,,,,,,,,,,,, ,, ,,,,,,,,
 ,,,, ,,, ,,,,,,,,,,,,,,,,,,, ,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
 4th week of May,1228.57,1320,1716.67,1150,1521.43,457.14,1380,928.57,1142.86,390,490,607.14,1214.29,1950,,918.75,,975,1362.5,1016.67,1225,,,825,1087.5,270,1528.57,,800
  ,  , ,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,
 4th week of May,1478.57,1416.67,2378.57,1264.293,1742.86,446,1237.33,921.43,1278.57,416.67,600,516.67,1217.86,2700,,,,1250,1280,1250,1460,,,1280,1446.67,395,1571,,700
  ,  , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
 , , ,,,,,,,,, ,,,,,,,,,, ,,,, ,,,,
  , ,,,,,,,,,,,,,,,,, ,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,
 ,,,, , ,,,,,,,,,,,,,,,,,,,,, ,,,
 4th week of May,1250,1200,1850,1025,1350,531.25,1100,750,887.5,350,700,500,1550,2350,,,,733.33,1125,900,1287.5,,,667.75,1125,308.75,1500,,500
  ,  , ,, , ,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
  , , ,, ,,, ,,,, , ,,,,,,,, , ,,,, ,,,,
   , , ,,,,,,,,,,,,,,,, ,,, ,,,,,,,,
  , ,, , ,,, ,,,,,,,,,,,, ,, ,,,,,,,,
 ,,,, ,,, ,,,,,,,,,,,,,,,,,,, ,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
2021 3rd week of Nov.,887.5,850,1362.5,437,875,237,,475,430,206.67,250,340,925,1537.5,,593.3,,390,545,603,1000,,,562.5,513.33,153,1250,,475
 Last Year,0.5060240963855421,0.3574660633484163,1.6727272727272726,0.5555666666666668,1.375637755102041,0.11710900473933653,0.19808306709265175,0.3009166666666666,0.5335763888888889,,0.041666666666666664,0.784967741935484,0.08469066366704157,1.7166666666666666,,0.6138328530259366,,0.3162578616352201,0.5,0.8987341772151899,,,,0.7989259259259258,0.4414324324324325,0.5660377358490566,1.3398876404494382,,0.1506849315068493
 2019.0,0.25,,,0.3494202353757628,0.6704035874439462,0.024826086956521772,,0.17818867924528298,0.02035300097029063,0.3420699455277493,,-0.08538842975206606,-0.10988341502589236,0.6689362834939131,,0.20430107526881722,,0.11618666666666665,0.043478260869565216,0.3274336283185841,0.34043123587759944,,,0.6190333333333332,0.329171339563863,0.26717557251908397,0.32926097557861944,,0.3125
  ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021 1st week of Nov.,706.25,800,1064,328.57,712.86,202.86,650,407.5,350,175,258.363,277.5,992.86,1329.17,,345,,331.67,500,520.83,883.33,,,405.83,485,89.29,955,,383.33
 Last Year,0.7235943775100402,0.19155354449472098,1.4,0.3617333333333333,0.9005102040816326,0.2390047393364929,0.038338658146964855,0.2870277777777777,0.5219791666666667,,0.08333333333333333,1.064516129032258,0.0686164229471316,1.375,,0.1988472622478386,,0.18238993710691823,0.35715,0.8354430379746836,,,,0.8296296296296296,0.5057837837837837,0.3443396226415094,1.2808988764044944,,-0.0410958904109589
 2019.0,0.6997029702970298,,,0.15076056338028163,0.192,0.3942933333333334,,0.362735294117647,0.3150031500315003,0.371917758103461,0.4444444444444444,0.4328572068239824,-0.10588235294117647,0.6715542521994134,,0.11229946524064172,,0.3146853146853147,-0.09523333333333331,0.4146341463414634,0.07070303030303035,,,0.5171990171990171,0.7090184049079754,-0.12037037037037036,0.20833333333333334,,-0.018700759805983166
  ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
 1st week of Nov,832.14,985.71,1500,660.71,1078.57,189.29,785.71,389.29,428.57,200,,300,1250,1685.71,,,,371.43,700,735.71,1057.14,,,585.71,589.29,126,1485.71,,
  ,  , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
  , , ,, ,,,,,,, , ,,,,,,,,, ,,,, ,,,,
  ,, ,,,,,,,,,,,,,,,, ,,,,,,,,,,,
  , ,, , ,,, ,,,,,,,,,,,, ,,,,,,,,,,
 ,,,, ,,, ,,,,,,,,,,,,,,,,,,, ,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
 2nd week of Nov,878.57,866.67,1571.43,600,1121.43,204.29,1066.67,371.43,460.71,258.33,295,362.5,1266.67,1757.14,,,,355,596,650,1057.14,,,591.67,529.17,144.29,1500,,
  ,  , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
  , , ,, ,,,,,,, , ,,,,,,,,, ,,,, ,,,,
  ,, ,,,,,,,,,,,,,,,, ,,,,,,,,,,,
  , ,, , ,,, ,,,,,,,,,,,, ,,,,,,,,,,
 ,,,, ,,, ,,,,,,,,,,,,,,,,,,, ,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
2021 4th week of Oct.,812.5,766.67,1187.5,456.67,889.17,207.5,715,385.83,375.71,165,290,316,985.71,1400,,446,,375,490,567.5,1000,,,503.33,445.83,128.57,1020,,465
 Last Year,0.4181726907630522,0.2066365007541478,0.9345454545454546,0.09523333333333331,0.8185204081632653,-0.03857819905213264,0.038338658146964855,0.13194444444444445,0.2152777777777778,,-0.13879,0.7903225806451613,0.1168278965129359,,,-0.005763688760806916,,0.04298742138364785,0.25,0.6481962025316457,,,,0.503074074074074,0.3108108108108108,-0.1576415094339622,,,0.050219178082191736
 2019.0,0.765625,,,-0.15751282051282053,0.1497741935483871,0.2678750000000001,,0.025157232704402517,-0.1540785498489426,0.3125328133203329,0.17437727272727271,0.12121212121212122,-0.09739999999999999,0.7722266666666667,,-0.014285714285714285,,0.1761347517730497,0.17994100294985252,0.23419431279620861,,,,0.15951428571428566,0.34349030470914127,-0.3482481751824817,,,0.23654838709677414
  ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,
 1st week of  Nov.,900,916.67,1940,512.5,1058.33,404.17,800,595.83,530,308.33,375,356,1308.33,2283.33,,,,433.33,612.5,645,1000,,,510,708.332,270,1612.5,,550
  ,  , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 1st  week of Nov.,983.3333333333334,1080,1657.142857142857,639.2857142857143,1189.2857142857142,400,900,732.1428571428571,685.7142857142857,193,466.6666666666667,281.25,1578.5714285714287,1921.4285714285713,,,,650,770,589.2857142857143,1179.1666666666667,,,425,557.1428571428571,287.14285714285717,1625,,375
  ,  , ,, , ,,,,,,,,,,,,,,,,,,,,, ,,,
   , , ,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
  , , ,, ,,, ,,,, , ,,,,,,,, , ,,, , ,,,,
   , , ,,,,,,,, ,,,,,,,, ,,, ,,, ,,,,,
   , ,, , ,,, ,,,,,,,,,,,, , , ,,,,,, ,,
 ,,,, ,,, ,,,,,,,,,,,,,,,,, ,, ,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
 2nd week of  Nov.,1082.14,1128.57,2035.71,675,1128.57,554.29,762.5,600,567.86,392.86,366.67,400,1521.43,2421.43,,,,575,675,766.67,991.67,,,667.14,640,286.67,1625,,
  ,  , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
 , ,,,,,,,,,, ,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 2nd  week of Nov.,1200,1060,1696.4285714285713,667.8571428571429,1341.6666666666667,455,937.5,900,714.2857142857143,300,462.5,366.6666666666667,1575,2150,,,,590,737.5,764.2857142857143,1270,,,550,675,280.8333333333333,1800,,483.3333333333333
  ,  , ,, , ,,,,,,,,,,,,,,,,,,,,, ,,,
   , , ,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
  , , ,, ,,, ,,,, , ,,,,,,,, , ,,, , ,,,,
   , , ,,,,,,,, ,,,,,,,, ,,, ,,, ,,,,,
   , ,, , ,,, ,,,,,,,,,,,, , , ,,,,,, ,,
 ,,,, ,,, ,,,,,,,,,,,,,,,,, ,, ,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,
 3rd week of  Nov.,1050,914.29,1842.86,575,1016.67,521.43,766.67,512.5,539.29,256,300,339.29,1533.33,2164.29,,,,571.43,650,707.14,1021.43,,,566.67,735.71,302.5,1650,,400
  ,  , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
 , ,,,,,,,,,, ,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 3rd week of Nov,1033.33,935.71,1457.14,664.29,1183.33,264.29,980,364.29,414.29,250,400,341.67,1300,1657.14,,,,414.29,683.33,750,1242.86,,,490.71,635.71,144.17,1620,,425
  ,  , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
  , , ,, ,,,,,,, , ,,,,,,,,, ,,,, ,,,,
  ,, ,,,,,,,,,,,,,,,, ,,,,,,,,,,,
  , ,, , ,,, ,,,,,,,,,,,, ,,,,,,,,,,
 ,,,, ,,, ,,,,,,,,,,,,,,,,,,, ,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
 3rd  week of Nov.,1050,1200,1766.6666666666667,758.3333333333334,1358.3333333333333,345,990,933.33,658.3333333333334,225,350,293.75,1600,2183.3333333333335,,,,600,760,783.3333333333334,1340,,,566.6666666666666,600,230,1450,,
  ,  , ,, , ,,,,,,,,,,,,,,,,,,,,, ,,,
   , , ,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
  , , ,, ,,, ,,,, , , ,,,,,,, , ,,, , ,,,,
   , , ,,,,,,,, ,,,,,,,, ,,, ,,, ,,,,,
   , ,, , ,,, ,,,,,,,,,,,, , , ,,,,,, ,,
 ,,,, ,,, ,,,,,,,,,,,,,,,,, ,, ,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,
 4th week of  Nov.,1133.33,1000,1700,610.71,1100,439.29,790,570.83,521.43,410,380,412.5,1385.71,2014.29,,,,590,770,775,1091.67,,,535.71,821.43,260,1740,,
  ,  , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
 , ,,,,,,,,,, ,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 4th week of Nov,975,810,1441.67,641.67,1083.33,260.83,816.67,455,433.31,207.5,225,350,1300,1766.66,,,,416.67,679.17,733.33,1237.5,,,570.83,550,190,1583.33,,425
  ,  , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
  , , ,, ,,, ,,,, , ,,,,,,,,, ,,,, ,,,,
  ,, ,,,,,,,,,,,,,,,, ,,,,,,,,,,,
  , ,, , ,,, ,,,,,,,,,,,, ,,,,,,,,,,
 ,,,, ,,, ,,,,,,,,,,,,,,,,,,, ,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
 4th  week of Nov.,1257.142857142857,1150,1764.2857142857142,721.4285714285714,1341.6666666666667,407.14,975,725,712.5,233.33,366.6666666666667,375,1700,2150,,,,650,1000,745,1360,,,571.43,612.5,233.33333333333334,1621.4285714285713,,500
  ,  , ,, , ,,,,,,,,,,,,,,,,,,,,, ,,,
   , , ,,,,,,,,, ,,, ,,,,, , , ,,,,,,,,
  , , ,, ,,, ,,,, , , ,,,,,,, , ,,, , ,,,,
   , , ,,,,,,,, ,,,,,,,, ,, , ,,, ,,,,,
   , ,, , , ,, ,,,,,,,,,,,, , , ,,,,,, ,,
 ,,,, ,,, ,,,,,,, ,,,,,,,,,, ,, ,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,, ,,,,,,,,,,,,,, ,,,,
 1st week of Oct.,1560,1533.33,1762.5,736.43,1666.67,518.57,1116.67,578.57,789.29,425,,500,1545.83,2025,,,,716.67,886,1016.62,1270,,,798.33,960,343.75,1633.33,,600
  ,  , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021 4th week of Sep.,716.67,630,1158.33,358.57,705,148.33,587.5,400,451.43,164,216.67,380,950,1290,,425,,391.67,538.33,620,850,,,482.5,457.14,183,962.5,,
 Last Year,0.009615384615384616,,0.5142800000000001,-0.12892682926829271,0.09803921568627451,-0.4793388429752066,0.048728813559322036,-0.2,-0.10528645833333335,-0.16666666666666666,,-0.0847457627118644,-0.07679411764705886,0.43393821827737505,,0,,-0.2236842105263158,-0.08124425777661118,0.059437984496123954,-0.09090909090909091,,,0.17746478873239438,0.06984444444444446,-0.3285611510791367,0.2903225806451613,,0.024589962377357562
 2019.0,0.4266304347826087,0.49998928579081575,0.5810421394066794,-0.06015789473684214,0.14485713818425666,-0.14864864864864866,0.125,-0.03768547836344442,-0.12863628293895363,0.0,-0.25,0.08,0.002533828742986719,0.43989807474518694,,0.15384615384615385,,0.1408902811617744,-0.07918968692449353,0.47465673976963124,0.08387656194354545,,,0.22941176470588234,0.5353190675128361,-0.17821607818966273,0.19047619047619047,,0.22550000000000003
  ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021 2nd week of Oct.,733.33,662.5,1129.17,375.71,800,160.71,676.67,351.43,436.43,271.67,,325,946.43,1354.17,,420,,338.57,525,589.29,900,,,458,495,127.5,965,,425
 Last Year,-0.18771578947368425,,0.6165283540802213,0.3602941176470588,0.55,-0.08523090542467915,0.19174655377510325,0.16532844748612388,-0.03773542600896857,-0.2891531427332202,,0.0020552147239264293,-0.011816453183442282,0.5142857142857142,,0.38461538461538464,,0.21019108280254778,-0.24479687500000002,0.288023527896443,0.15834588208038927,,,0.3149731182795699,-0.011111111111111112,-0.030718759320011963,0.496551724137931,,0.15384615384615385
 2019.0,0.8707151515151514,0.618421052631579,0.6025860768692839,0.4453125,0.9514528881502745,0.056818181818181816,0.1813515528811973,0.19428950129784067,0.15102183125033525,0.4047857142857142,,0.28463565220810894,-0.13027126436781605,0.5406976744186046,,0.5,,0.5375900299425428,-0.11961748633879785,0.6633860996368275,0.3888888888888889,,,0.5951022271497048,0.21681113450548256,0.21871191525264833,0.3457364341085271,,0.45161290322580644
  ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
 1st week of Oct.,1262.5,1290,1721.43,703.57,1278.57,307.86,900,511.43,721.43,,,479.17,1564.29,2153.57,,,,500,1110,900,1114.29,,,660,808.33,271.43,1650,,
  ,  , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
  , , ,,,,,,,,, , ,,,,,,,,, ,,,, ,,,,
  ,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,
  , ,, , ,,, ,,,,,,,,,,,, ,,,,,,,,,,
 ,,,, , ,, ,,,,,,,,,,,,,,,,,,, ,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 1st  week of Oct.,978.57,983.3333333333334,1678.5714285714287,671.4285714285714,1050,261.42857142857144,1000,564.2857142857143,687.5,175,450,350,1535.7142857142858,2014.2857142857142,,,,616.6666666666666,666.6666666666666,696.4285714285714,1135.7142857142858,,,635.7142857142857,642.8571428571429,185.71428571428572,1442.857142857143,,400
  ,  , ,, , ,,,,,,,,,,,,,,,,,,,,, ,,,
   , , ,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
  , , ,, ,,, ,,,, , ,,,,,,,, , ,,, , ,,,,
   , , ,,,,,,,,,,,,,,,, ,,, ,,, ,,,,,
   , ,, , ,,, ,,,,,,,,,,,, , , ,,,,,,,,
 ,,,, ,,, ,,,,,,,,,,,,,,,,, ,, ,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
2021 1st week of Oct.,656.25,700,1135.71,357.14,700,126,618.75,310,343.57,150,150,270,941.67,1271.43,,375,,295,490,546.67,700,,,418,481.43,93.33,1000,,416.67
 Last Year,0.21211570247933892,,0.676993450462626,-0.016852021457542846,0.4222222222222222,-0.20960999360645258,0.18419026285394283,-0.010056338028168995,0.02289879529367642,0.5980588235294119,,-0.024024024024024024,-0.02092773053607268,0.5301355932203391,,0.21739130434782608,,0.004241561369164166,-0.13698157250176718,0.1865058591390487,-0.006622516556291391,,,0.2722222222222222,0.12928615426733286,-0.05555555555555555,0.30785389984414174,,0.11355656867368855
 2019.0,0.5602765957446809,0.5588235294117647,0.5432777071630654,0.11048384713149882,0.42857142857142855,-0.06563953488372089,0.12778333333333328,-0.00444759206798865,0.2742481751824818,1.0897692307692308,,0.3,-0.0877783132530121,0.5709628770301625,,0.3548387096774194,,0.5047555555555555,-0.045454545454545456,0.6797024199754866,0.37142857142857144,,,0.660443026501831,0.40425531914893614,0.18055555555555555,0.2138364779874214,,0.3492063492063492
  ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
 2nd week of Oct.,1175,1150,1791.67,650,1150,480,825,541.67,662.5,383.33,600,575,1425,2108.33,,,,591.67,760,850,1066.67,,,754.17,825,287.5,1400,,
  ,  , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 2nd week of Oct.,1040,1116.67,1750,721.43,987.5,235.71,850,340,575,220,350,396,1390,2103.57,,,,415,935.71,757.14,1064.29,,,578.57,716.67,191.67,1564.29,,350
  ,  , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
  , , ,,,,,,,,, , ,,,,,,,,, ,,,, ,,,,
  ,, ,,,,,,,,,,,,,,,, ,,,,,,,,,,,
  , ,, , ,,, ,,,,,,,,,,,, ,,,,,,,,,,
 ,,,, , ,, ,,,,,,,,,,,,,,,,,,, ,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 2nd  week of Oct.,1007.1428571428571,1041.6666666666667,1558.3333333333333,725,958.33,268.57142857142856,900,550,564.2857142857143,275,341.6666666666667,331.25,1550,1828.5714285714287,,,,550,770.8333333333334,700,1170.8333333333333,,,521.4285714285714,617.8571428571429,197,1507.142857142857,,416.6666666666667
  ,  , ,, , ,,,,,,,,,,,,,,,,,,,,, ,,,
   , , ,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
  , , ,, ,,, ,,,, , ,,,,,,,, , ,,, , ,,,,
   , , ,,,,,,,, ,,,,,,,, ,,, ,,, ,,,,,
   , ,, , ,,, ,,,,,,,,,,,, , , ,,,,,, ,,
 ,,,, ,,, ,,,,,,,,,,,,,,,,, ,, ,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
 3rd week of Oct.,960,1150,1760.71,666.67,1200,485.71,915,540.71,689.29,362.5,533.33,516.67,1391.67,2167.86,,,,675,900,790,983.33,,,710.71,821.43,310,1383.33,,
  ,  , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 3rd week of Oct.,950,940,1592.86,596.43,925,217.57,850,325,437.56,325,500,366.67,1264.29,1778.57,,,,363.33,800,710.71,950,,,490.71,628.57,162.5,1450,,350
  ,  , ,,, ,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,,,,,,,,,,,, ,,,,, ,, ,,,,,,,,
  , , ,, ,,,,,,, , ,,,,,,,,, ,,,, ,,,,
  ,, ,,,,,,,,,,,,,,,, ,,,,,,,,,,,
  , ,, , ,,, ,,,,,,,,,,,, ,,,,,,,,,,
 ,,,, , ,, ,,,,,,,,,,,,,,,,,,, ,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
